"path","cc"
"images/Hamby (2009) Barrel/bullets/Ukn Bullet J-3.x3p",175
"images/Hamby (2009) Barrel/bullets/Ukn Bullet J-4.x3p",175
"images/Hamby (2009) Barrel/bullets/Ukn Bullet J-5.x3p",125
"images/Hamby (2009) Barrel/bullets/Ukn Bullet J-6.x3p",125
"images/Hamby (2009) Barrel/bullets/Ukn Bullet L-1.x3p",125
"images/Hamby (2009) Barrel/bullets/Ukn Bullet L-2.x3p",125
"images/Hamby (2009) Barrel/bullets/Ukn Bullet L-3.x3p",175
"images/Hamby (2009) Barrel/bullets/Ukn Bullet L-4.x3p",175
"images/Hamby (2009) Barrel/bullets/Ukn Bullet L-5.x3p",125
"images/Hamby (2009) Barrel/bullets/Ukn Bullet L-6.x3p",150
"images/Hamby (2009) Barrel/bullets/Ukn Bullet M-1.x3p",200
"images/Hamby (2009) Barrel/bullets/Ukn Bullet M-2.x3p",150
"images/Hamby (2009) Barrel/bullets/Ukn Bullet M-3.x3p",125
"images/Hamby (2009) Barrel/bullets/Ukn Bullet M-4.x3p",225
"images/Hamby (2009) Barrel/bullets/Ukn Bullet M-5.x3p",175
"images/Hamby (2009) Barrel/bullets/Ukn Bullet M-6.x3p",175
"images/Hamby (2009) Barrel/bullets/Ukn Bullet Q-1.x3p",150
"images/Hamby (2009) Barrel/bullets/Ukn Bullet Q-2.x3p",200
