"bullet","x","sd"
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-1.x3p",125,1.31587023443401
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-1.x3p",150,1.27811713695427
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-1.x3p",175,1.27734696023728
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-1.x3p",200,1.28895461367624
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-1.x3p",225,1.27304978953983
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-1.x3p",25,1.38507115485118
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-1.x3p",250,1.27362405392693
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-1.x3p",275,1.26581084857496
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-1.x3p",300,1.2486667203066
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-1.x3p",325,1.20755941620215
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-1.x3p",350,1.18982683447903
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-1.x3p",375,1.17041991733658
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-1.x3p",400,1.2129726553483
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-1.x3p",425,1.11399914357336
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-1.x3p",450,1.15712370196513
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-1.x3p",475,1.16737270155661
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-1.x3p",50,2.72421169050309
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-1.x3p",500,1.19080582498715
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-1.x3p",75,1.66987141933719
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-2.x3p",100,2.91935648593747
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-2.x3p",125,2.23498107168844
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-2.x3p",150,1.72234725753783
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-2.x3p",175,1.85993333677563
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-2.x3p",200,1.85578851664434
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-2.x3p",225,1.80494145882799
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-2.x3p",25,0.815330329472655
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-2.x3p",250,1.77647086559878
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-2.x3p",275,1.75460143779344
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-2.x3p",300,1.66928988310678
