"b2","b1","ccf","lag","D","sd.D","x1","x2","signature.length","matches.per.mm","mismatches.per.mm","cms.per.mm","cms2.per.mm","non_cms.per.mm","left_cms.per.mm","right_cms.per.mm","left_noncms.per.mm","right_noncms.per.mm","sumpeaks.per.mm","data","id.x","id.y","match","span"
"Ukn Bullet J-1","Br1 Bullet 1-3",0.409906094780926,-601.5625,2.73680288295164,2.78863864784801,79.6875,120.3125,1.928125,3.11183144246353,43.0470016207455,1.55591572123177,0.518638573743922,15.0405186385737,0,0,14.5218800648298,15.0405186385737,2.55640310101991,"data-nist/unkn37-nist.RData",3,36,FALSE,1
"Ukn Bullet J-1","Br5 Bullet 2-1",0.25149603023647,798.4375,2.08183278763079,2.02493584885779,140.625,120.3125,1.928125,2.59319286871961,52.3824959481361,1.03727714748784,0.518638573743922,25.4132901134522,0,0,25.4132901134522,21.7828200972447,3.07160544364508,"data-nist/unkn37-nist.RData",23,36,FALSE,1
"Ukn Bullet J-1","Br6 Bullet 1-1",0.392513612950734,306.25,10.0770997709427,4.53237014881774,59.375,120.3125,1.928125,2.07455429497569,36.8233387358185,0.518638573743922,0.518638573743922,15.0405186385737,0,0,15.0405186385737,3.63047001620746,4.97781160436068,"data-nist/unkn37-nist.RData",25,36,FALSE,1
"Ukn Bullet J-1","Br1 Bullet 2-2",0.275613294911754,-535.9375,4.25356162672234,3.22786809093916,159.375,120.3125,1.928125,4.14910858995138,34.2301458670989,1.03727714748784,0.518638573743922,14.5218800648298,0,0,14.5218800648298,9.85413290113452,5.93533300167916,"data-nist/unkn37-nist.RData",6,36,FALSE,1
"Ukn Bullet J-1","Br8 Bullet 1-1",0.355846783064703,-667.1875,2.82785663700741,2.65711163796447,140.625,120.3125,1.921875,2.60162601626016,42.6666666666667,1.04065040650407,0.520325203252033,20.2926829268293,0,0,15.0894308943089,20.2926829268293,4.75277270687219,"data-nist/unkn37-nist.RData",43,36,FALSE,1
"Ukn Bullet J-1","Br9 Bullet 1-6",0.335075898350162,-560.9375,3.05239860952601,2.83734024554128,120.3125,120.3125,1.9234375,3.11941510966694,39.5125913891145,0.519902518277823,0.519902518277823,13.5174654752234,0,0,13.5174654752234,11.9577579203899,5.25994994883215,"data-nist/unkn37-nist.RData",54,36,FALSE,1
"Ukn Bullet J-1","Br4 Bullet 1-4",0.354200546008682,-214.0625,2.18465564515306,2.49927694390142,100,120.3125,1.9234375,3.63931762794476,32.7538586515028,1.03980503655565,0.519902518277823,12.9975629569456,0,0,12.9975629569456,5.19902518277823,3.40851375560805,"data-nist/unkn37-nist.RData",40,36,FALSE,1
"Ukn Bullet J-1","Br7 Bullet 1-1",0.425542552125071,-329.6875,2.55637094992508,2.98948741003523,140.625,120.3125,1.928125,4.6677471636953,29.0437601296596,1.55591572123177,1.03727714748784,8.81685575364668,0,0,8.81685575364668,8.29821717990276,5.02907231421299,"data-nist/unkn37-nist.RData",31,36,FALSE,1
"Ukn Bullet J-1","Br7 Bullet 1-5",0.304289720708522,-410.9375,2.13502414781932,2.41200230664328,159.375,120.3125,1.928125,3.11183144246353,33.7115072933549,1.55591572123177,0.518638573743922,17.1150729335494,0,0,10.8914100486224,17.1150729335494,1.67618420228707,"data-nist/unkn37-nist.RData",35,36,FALSE,1
"Ukn Bullet J-1","Br1 Bullet 1-1",0.347658945094558,-781.25,2.40077161696956,2.5815723256243,79.6875,120.3125,1.928125,2.59319286871961,45.1215559157212,1.03727714748784,0.518638573743922,22.8200972447326,0,0,17.1150729335494,22.8200972447326,2.04738564222447,"data-nist/unkn37-nist.RData",1,36,FALSE,1
"Ukn Bullet J-1","Br7 Bullet 2-5",0.332169906281198,-760.9375,2.59914861909825,2.95961212879138,140.625,120.3125,1.928125,2.07455429497569,47.1961102106969,0.518638573743922,0.518638573743922,18.6709886547812,0,0,18.1523500810373,18.6709886547812,3.21844033742169,"data-nist/unkn37-nist.RData",34,36,FALSE,1
"Ukn Bullet J-1","Br7 Bullet 1-2",0.293643509489083,-145.3125,2.91116861270507,2.79583147066823,159.375,120.3125,1.928125,6.22366288492707,24.3760129659643,1.55591572123177,1.03727714748784,6.74230145867099,0,0,3.11183144246353,5.18638573743922,8.61671351857401,"data-nist/unkn37-nist.RData",32,36,FALSE,1
"Ukn Bullet J-1","Br8 Bullet 1-4",0.400933355101161,153.125,3.24015849055593,3.08953438658473,179.6875,120.3125,1.928125,4.6677471636953,22.8200972447326,1.55591572123177,1.03727714748784,10.3727714748784,0,0,5.70502431118314,1.03727714748784,3.82450695250201,"data-nist/unkn37-nist.RData",46,36,FALSE,1
